"STATISTIC","Statistic Label","TLIST(W1)","Week","C03935V04687","Mode of Transport","UNIT","VALUE"
"THA25C01","Passenger Journeys","2022W01","2022 Week 01","10","Dublin Metro Bus","Number","1406243"
"THA25C01","Passenger Journeys","2022W01","2022 Week 01","20","Bus, excluding Dublin Metro","Number","365503"
"THA25C01","Passenger Journeys","2022W01","2022 Week 01","30","Rail","Number","288051"
"THA25C01","Passenger Journeys","2022W01","2022 Week 01","40","All public transport, excluding LUAS","Number","2059797"
"THA25C01","Passenger Journeys","2022W02","2022 Week 02","10","Dublin Metro Bus","Number","1779235"
"THA25C01","Passenger Journeys","2022W02","2022 Week 02","20","Bus, excluding Dublin Metro","Number","475432"
"THA25C01","Passenger Journeys","2022W02","2022 Week 02","30","Rail","Number","357666"
"THA25C01","Passenger Journeys","2022W02","2022 Week 02","40","All public transport, excluding LUAS","Number","2612333"
"THA25C01","Passenger Journeys","2022W03","2022 Week 03","10","Dublin Metro Bus","Number","1966074"
"THA25C01","Passenger Journeys","2022W03","2022 Week 03","20","Bus, excluding Dublin Metro","Number","519750"
"THA25C01","Passenger Journeys","2022W03","2022 Week 03","30","Rail","Number","399947"
"THA25C01","Passenger Journeys","2022W03","2022 Week 03","40","All public transport, excluding LUAS","Number","2885771"
"THA25C01","Passenger Journeys","2022W04","2022 Week 04","10","Dublin Metro Bus","Number","2109953"
"THA25C01","Passenger Journeys","2022W04","2022 Week 04","20","Bus, excluding Dublin Metro","Number","550396"
"THA25C01","Passenger Journeys","2022W04","2022 Week 04","30","Rail","Number","453379"
"THA25C01","Passenger Journeys","2022W04","2022 Week 04","40","All public transport, excluding LUAS","Number","3113728"
"THA25C01","Passenger Journeys","2022W05","2022 Week 05","10","Dublin Metro Bus","Number","2180251"
"THA25C01","Passenger Journeys","2022W05","2022 Week 05","20","Bus, excluding Dublin Metro","Number","562335"
"THA25C01","Passenger Journeys","2022W05","2022 Week 05","30","Rail","Number","524640"
"THA25C01","Passenger Journeys","2022W05","2022 Week 05","40","All public transport, excluding LUAS","Number","3267226"
"THA25C01","Passenger Journeys","2022W06","2022 Week 06","10","Dublin Metro Bus","Number","2222594"
"THA25C01","Passenger Journeys","2022W06","2022 Week 06","20","Bus, excluding Dublin Metro","Number","582446"
"THA25C01","Passenger Journeys","2022W06","2022 Week 06","30","Rail","Number","477140"
"THA25C01","Passenger Journeys","2022W06","2022 Week 06","40","All public transport, excluding LUAS","Number","3282180"
"THA25C01","Passenger Journeys","2022W07","2022 Week 07","10","Dublin Metro Bus","Number","2145226"
"THA25C01","Passenger Journeys","2022W07","2022 Week 07","20","Bus, excluding Dublin Metro","Number","527018"
"THA25C01","Passenger Journeys","2022W07","2022 Week 07","30","Rail","Number","471325"
"THA25C01","Passenger Journeys","2022W07","2022 Week 07","40","All public transport, excluding LUAS","Number","3143569"
"THA25C01","Passenger Journeys","2022W08","2022 Week 08","10","Dublin Metro Bus","Number","2104859"
"THA25C01","Passenger Journeys","2022W08","2022 Week 08","20","Bus, excluding Dublin Metro","Number","543279"
"THA25C01","Passenger Journeys","2022W08","2022 Week 08","30","Rail","Number","533442"
"THA25C01","Passenger Journeys","2022W08","2022 Week 08","40","All public transport, excluding LUAS","Number","3181580"
